,Title,Company,Location,Link,Date
1,Accountant,Nedbank ZW,Harare,https://example.com/job1,11/9/2026
2,Junior Accountant,CBZ Bank,Harare,https://example.com/job2,11/9/2026
3,Finance Officer,Zimra,Harare,https://example.com/job3,11/9/2026
4,Software Developer,TechZim,Bulawayo,https://example.com/job4,11/9/2026
5,Web Developer,WebDev ZW,Harare,https://example.com/job5,11/9/2026
6,IT Support,Econet Wireless,Gweru,https://example.com/job6,11/9/2026
7,Data Analyst,EcoCash,Harare,https://example.com/job7,11/9/2026
8,Nurse,Parirenyatwa Hospital,Harare,https://example.com/job8,11/9/2026
9,Doctor,Mpilo Hospital,Bulawayo,https://example.com/job9,11/9/2026
10,Pharmacist,NetOne Health,Gweru,https://example.com/job10,11/9/2026
11,Sales Rep,Econet Wireless,Gweru,https://example.com/job11,11/9/2026
12,Sales Manager,Delta Beverages,Harare,https://example.com/job12,11/9/2026
13,Marketing Executive,Steward Bank,Harare,https://example.com/job13,11/9/2026
14,Teacher,Ministry of Education,Mutare,https://example.com/job14,11/9/2026
15,Lecturer,NUST,Bulawayo,https://example.com/job15,11/9/2026
16,Bank Teller,CBZ Bank,Harare,https://example.com/job16,11/9/2026
17,Loan Officer,FBC Bank,Harare,https://example.com/job17,11/9/2026
18,HR Officer,Zimbabwe Revenue Authority,Harare,https://example.com/job18,11/9/2026
19,HR Manager,Dairibord,Harare,https://example.com/job19,11/9/2026
20,Civil Engineer,City of Bulawayo,Bulawayo,https://example.com/job20,11/9/2026
21,Electrical Engineer,ZESA Holdings,Harare,https://example.com/job21,11/9/2026
22,Customer Service,Steward Bank,Harare,https://example.com/job22,11/9/2026
23,Call Center Agent,NetOne,Harare,https://example.com/job23,11/9/2026
24,Driver,DHL Zimbabwe,Harare,https://example.com/job24,11/9/2026
25,Truck Driver,National Foods,Gweru,https://example.com/job25,11/9/2026
26,Web Designer,WebDev ZW,Bulawayo,https://example.com/job26,11/9/2026
27,Graphic Designer,The Herald,Harare,https://example.com/job27,11/9/2026
28,Electrician,ZESA Holdings,Mutare,https://example.com/job28,11/9/2026
29,Plumber,City Council,Harare,https://example.com/job29,11/9/2026
30,Lawyer,Atherstone & Cook,Harare,https://example.com/job30,11/9/2026
31,Legal Advisor,Ministry of Justice,Harare,https://example.com/job31,11/9/2026
32,Social Media Manager,The Herald,Harare,https://example.com/job32,11/9/2026
33,Procurement Officer,Zimra,Bulawayo,https://example.com/job33,11/9/2026
34,Supply Chain Manager,National Foods,Harare,https://example.com/job34,11/9/2026
35,Hotel Manager,Cresta Hotels,Victoria Falls,https://example.com/job35,11/9/2026
36,Chef,Holiday Inn,Harare,https://example.com/job36,11/9/2026
37,Waiter,Cresta Lodge,Bulawayo,https://example.com/job37,11/9/2026
38,Mechanic,Toyota Zimbabwe,Gweru,https://example.com/job38,11/9/2026
39,Workshop Manager,Toyota Zimbabwe,Harare,https://example.com/job39,11/9/2026
40,Security Guard,Securico,Harare,https://example.com/job40,11/9/2026
41,Admin Officer,Ministry of Health,Mutare,https://example.com/job41,11/9/2026
42,Project Manager,UNDP Zimbabwe,Harare,https://example.com/job42,11/9/2026
43,Journalist,ZBC,Harare,https://example.com/job43,11/9/2026
44,Radio Presenter,Star FM,Harare,https://example.com/job44,11/9/2026
45,Agronomist,Zimbabwe Tobacco,Mutare,https://example.com/job45,11/9/2026
46,Farm Manager,Zimbabwe Sugar,Chiredzi,https://example.com/job46,11/9/2026
47,Receptionist,Holiday Inn,Harare,https://example.com/job47,11/9/2026
48,Logistics Officer,DHL Zimbabwe,Bulawayo,https://example.com/job48,11/9/2026
49,Quality Control,Delta Beverages,Harare,https://example.com/job49,11/9/2026
50,Business Analyst,Old Mutual,Harare,https://example.com/job50,11/9/2026
